pl_name,hostname,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,st_teff,st_mass,st_rad,sy_dist,sy_gaiamag,ra,dec
Kepler-769 c,Kepler-769,2,Transit,2016.0,Space,Kepler,15.9870174,0.1297,1.79,0.1596931,3.86,0.0121,0.0,6186.0,1.19,1.28,1169.57,14.7604,292.7130925,38.3581685
Kepler-77 b,Kepler-77,1,Transit,2013.0,Space,Kepler,3.57878087,0.04501,10.761,0.96,136.661,0.43,0.0,5520.0,0.95,0.99,639.411,13.9172,289.6079433,44.3454347
Kepler-770 b,Kepler-770,3,Transit,2016.0,Space,Kepler,18.92540274,0.1694,2.3,0.20519226,5.9,0.0186,0.0,5598.0,0.94,0.92,930.457,14.5966,286.4904589,38.374872
Kepler-770 c,Kepler-770,3,Transit,2016.0,Space,Kepler,1.475322314,0.0309,1.2,0.10705683,1.87,0.00588,0.0,5598.0,0.94,0.92,930.457,14.5966,286.4904589,38.374872
Kepler-770 d,Kepler-770,3,Transit,2016.0,Space,Kepler,4.15244722,0.0616,1.4,0.12489963,2.54,0.008,0.0,5598.0,0.94,0.92,930.457,14.5966,286.4904589,38.374872
Kepler-771 b,Kepler-771,1,Transit,2016.0,Space,Kepler,8.73485836,0.0843,1.82,0.16236952,3.97,0.0125,0.0,5906.0,1.03,1.05,1393.85,14.7461,287.4441104,38.0884183
Kepler-772 b,Kepler-772,1,Transit,2016.0,Space,Kepler,12.99207337,0.11153,1.82,0.16236952,3.97,0.0125,0.0,5714.0,0.98,1.11,1130.21,13.9556,291.423582,38.2165603
Kepler-773 b,Kepler-773,1,Transit,2016.0,Space,Kepler,3.749100061,0.04682,1.43,0.12757605,2.63,0.00829,0.0,5850.0,1.04,1.01,547.026,13.2797,290.8846217,38.0575539
Kepler-774 b,Kepler-774,1,Transit,2016.0,Space,Kepler,11.0895723,0.1082,3.17,0.28280846,10.2,0.032,0.0,6403.0,1.57,2.42,917.804,12.7699,291.0318604,38.211894
Kepler-775 b,Kepler-775,1,Transit,2016.0,Space,Kepler,0.974868926,0.01834,1.19,0.10616469,1.81,0.0057,0.0,5468.0,0.92,0.84,398.676,13.4673,291.4332781,41.7033162
Kepler-776 b,Kepler-776,1,Transit,2016.0,Space,Kepler,4.89718784,0.0523,1.28,0.11419395,2.18,0.00687,0.0,5071.0,0.83,0.78,727.904,15.42,287.2726117,41.6356009
Kepler-777 b,Kepler-777,1,Transit,2016.0,Space,Kepler,5.72812599,0.0519,1.47,0.13114462,2.76,0.00869,0.0,4043.0,0.58,0.56,443.106,15.9397,282.7241098,44.3465098
Kepler-778 b,Kepler-778,1,Transit,2016.0,Space,Kepler,3.75574426,0.0453,1.68,0.14987956,3.46,0.0109,0.0,5102.0,0.81,0.77,938.168,15.7514,287.4774867,44.2374702
